"sparse weighted graph embedding,"	,"
2671,-2.588773,-0.6804708	,-2.3777275,-0.5184272
2672,-2.5092032,-0.64175767	,-2.3153243,-0.5163491
2673,-2.5307913,-0.6487629	,-2.2983475,-0.49256006
2674,-2.5350633,-0.67131096	,-2.2768471,-0.5034603
2675,-2.6284673,-0.6808598	,-2.310059,-0.5112029
2676,-2.6259432,-0.68148047	,-2.2926054,-0.52255404
2677,-2.6581357,-0.6792107	,-2.2807975,-0.47561628
2678,-2.6521757,-0.6956106	,-2.2686484,-0.45738375
2679,-2.50637,-0.641394	,-2.2047324,-0.45968863
2680,-2.5513709,-0.663622	,-2.320156,-0.49506906
2681,-2.5957367,-0.6566453	,-2.3528328,-0.5255025
2682,-2.6125576,-0.6567603	,-2.3951395,-0.51569724
2683,-2.6114514,-0.6703822	,-2.3749473,-0.52479357
2684,-2.6179388,-0.6535469	,-2.369279,-0.5306048
2685,-2.6339993,-0.66378087	,-2.3863037,-0.52879375
2686,-2.608994,-0.6685921	,-2.3608084,-0.49489546
2687,-2.5113308,-0.64922833	,-2.2885492,-0.4757903
2688,-2.5096943,-0.6358044	,-2.1930645,-0.4299111
2689,-2.5430918,-0.65748227	,-2.147498,-0.42726538
2690,-2.5186572,-0.65785813	,-2.1923218,-0.43131346
2691,-2.4984922,-0.66018444	,-2.1639817,-0.4020273
2692,-2.472764,-0.6465949	,-2.1533575,-0.4328595
2693,-2.4818318,-0.652403	,-2.1748078,-0.4148537
2694,-2.4826975,-0.65313685	,-2.1722527,-0.41456184
2695,-2.4864025,-0.663967	,-2.194358,-0.43374473
2696,-2.4970162,-0.6529989	,-2.2483344,-0.4510035
2697,-2.4975798,-0.65783626	,-2.227821,-0.45367885
2698,-2.5223758,-0.65528566	,-2.232941,-0.46595687
2699,-2.5248096,-0.67070603	,-2.1893628,-0.43630263
2700,-2.5029213,-0.6585771	,-2.1958697,-0.44970024
2701,-2.5093536,-0.6579454	,-2.2134109,-0.45515877
2702,-2.5094962,-0.6681556	,-2.1833973,-0.48019147
2703,-2.441699,-0.65609777	,-2.1674933,-0.4190776
2704,-2.5251245,-0.65563416	,-2.161383,-0.40206444
2705,-2.5182943,-0.6481713	,-2.170046,-0.4348443
2706,-2.5593202,-0.6633211	,-2.2520936,-0.47006348
2707,-2.5012558,-0.6617965	,-2.1969419,-0.444465
2708,-2.5069485,-0.65138113	,-2.2313848,-0.47266087
2709,-2.547581,-0.67914814	,-2.258951,-0.49412674
2710,-2.5460246,-0.65354705	,-2.2640872,-0.495272
2711,-2.4740636,-0.6414921	,-2.2323816,-0.5057388
2712,-2.4562907,-0.6607853	,-2.1862407,-0.47327483
2713,-2.4537241,-0.64395636	,-2.0958986,-0.43090728
2714,-2.4731386,-0.6442856	,-2.0930035,-0.41057482
2715,-2.465112,-0.664916	,-2.116199,-0.42650497
2716,-2.5780754,-0.68175375	,-2.1968715,-0.43656728
2717,-2.5876536,-0.67624176	,-2.2374098,-0.46682426
2718,-2.5547867,-0.66356874	,-2.2868893,-0.48772946
2719,-2.5026875,-0.6783244	,-2.288939,-0.48007062
2720,-2.5271971,-0.6513385	,-2.2383165,-0.46971503
2721,-2.513924,-0.6720501	,-2.2420652,-0.44560593
2722,-2.617407,-0.67494416	,-2.3192477,-0.46963274
2723,-2.6448786,-0.6762214	,-2.278466,-0.4480939
2724,-2.7103052,-0.67533165	,-2.2815752,-0.47260523
2725,-2.6956334,-0.68471986	,-2.2878592,-0.48242718
2726,-2.7323487,-0.67865807	,-2.3332648,-0.4776177
2727,-2.786387,-0.7039542	,-2.3987894,-0.52132195
2728,-2.8383975,-0.71949637	,-2.4511445,-0.4953889
2729,-2.8347642,-0.70503306	,-2.5184596,-0.5320497
2730,-2.814043,-0.70190555	,-2.5240104,-0.5510631
2731,-2.8323596,-0.70340943	,-2.4565575,-0.52719074
2732,-2.8224921,-0.70608574	,-2.4549408,-0.53810585
2733,-2.7934232,-0.7006014	,-2.4815538,-0.5381509
2734,-2.7974637,-0.7080901	,-2.4807167,-0.53268814
2735,-2.8178513,-0.71413267	,-2.452043,-0.5110366
2736,-2.8434353,-0.70407456	,-2.457387,-0.51873076
2737,-2.8457778,-0.6987645	,-2.467279,-0.5104419
2738,-2.8499653,-0.70057577	,-2.4530923,-0.51359755
2739,-2.8540351,-0.70213866	,-2.422701,-0.48110452
2740,-2.8788414,-0.6994946	,-2.4467833,-0.4920291
2741,-2.881537,-0.71826804	,-2.4449875,-0.5248382
2742,-2.9218802,-0.72538644	,-2.4598837,-0.5044784
2743,-2.9217908,-0.7213639	,-2.4623017,-0.50608647
2744,-2.9999597,-0.74490815	,-2.5522244,-0.5356518
2745,-2.9958656,-0.7434729	,-2.5754673,-0.53065383
2746,-3.0370462,-0.7481451	,-2.5743563,-0.5417514
2747,-2.9667447,-0.7417841	,-2.5963619,-0.53406066
2748,-3.0714014,-0.75630003	,-2.612539,-0.5619324
2749,-3.3298013,-0.80558294	,-2.6957147,-0.5886118
2750,-3.3356135,-0.81483865	,-2.687745,-0.57618713
2751,-3.3535893,-0.8156807	,-2.700469,-0.5899118
2752,-3.202336,-0.7847435	,-2.709124,-0.5841036
2753,-3.2576509,-0.7919073	,-2.7385561,-0.5965926
2754,-3.2589512,-0.80316806	,-2.745866,-0.5845241
2755,-3.272755,-0.8125945	,-2.7744765,-0.6095816
2756,-3.364806,-0.8206472	,-2.8420997,-0.6230799
2757,-3.3190103,-0.7987542	,-2.8366473,-0.6249783
2758,-3.3395853,-0.81419015	,-2.8353143,-0.61823183
2759,-3.3361273,-0.8215756	,-2.8313103,-0.63734794
2760,-3.328152,-0.8169327	,-2.855325,-0.6136821
2761,-3.432287,-0.82761437	,-2.833386,-0.60703313
2762,-3.3935745,-0.81928	,-2.8184552,-0.64008266
2763,-3.3581076,-0.8233658	,-2.873081,-0.6477292
2764,-3.3627992,-0.8233066	,-2.8838034,-0.63113374
2765,-3.2739038,-0.8001561	,-2.833852,-0.6344609
2766,-3.317125,-0.81177217	,-2.8976233,-0.66752106
2767,-3.4480803,-0.84688604	,-2.9079776,-0.6687757
2768,-3.2238057,-0.7917771	,-2.8217242,-0.64758575
2769,-3.2355235,-0.7912683	,-2.8184435,-0.6388115
2770,-3.3134186,-0.8074433	,-2.805972,-0.6511218
2771,-3.260519,-0.78864557	,-2.7482345,-0.59340364
2772,-3.2516332,-0.80660427	,-2.7372937,-0.630265
2773,-3.2540228,-0.8058893	,-2.7394679,-0.6326009
2774,-3.1676893,-0.7987165	,-2.7581873,-0.62449986
2775,-3.1833625,-0.7912981	,-2.754804,-0.6525737
2776,-3.1496415,-0.7722517	,-2.793259,-0.6463816
2777,-3.1805768,-0.7866216	,-2.8218746,-0.6645142
2778,-3.1956084,-0.7884161	,-2.8244855,-0.667819
2779,-3.2189457,-0.7937031	,-2.8260303,-0.6648281
2780,-3.164576,-0.7827262	,-2.8209555,-0.66674185
2781,-3.1450558,-0.783254	,-2.8246858,-0.6561103
2782,-3.147609,-0.7891929	,-2.8296888,-0.6651702
2783,-3.182867,-0.79077196	,-2.8374398,-0.6737784
2784,-3.2753575,-0.81835526	,-2.850729,-0.6796258
2785,-3.2946053,-0.8057254	,-2.8599133,-0.6632072
2786,-3.25022,-0.80555135	,-2.871591,-0.68019825
2787,-3.1617038,-0.78665394	,-2.9145122,-0.6736335
2788,-3.1786983,-0.8040084	,-2.9180999,-0.66758037
2789,-3.2052252,-0.8008957	,-2.9215324,-0.6769214
2790,-3.1569488,-0.78286725	,-2.9142249,-0.6741752
2791,-3.1810455,-0.78867406	,-2.9204645,-0.6559161
2792,-3.1579475,-0.78525656	,-2.8660731,-0.66768795
2793,-3.209087,-0.7922427	,-2.8693385,-0.6767521
2794,-3.2094953,-0.795878	,-2.84222,-0.670682
2795,-3.2110035,-0.79161805	,-2.7949896,-0.64703786
2796,-3.167308,-0.793288	,-2.8007643,-0.65984327
2797,-3.2128298,-0.80121386	,-2.808115,-0.6703383
2798,-3.218075,-0.7914278	,-2.8866606,-0.66512156
2799,-3.2140894,-0.79324096	,-2.8841214,-0.66099346
2800,-3.1042442,-0.79070497	,-2.901987,-0.65367305
2801,-3.0315409,-0.76189196	,-2.8549852,-0.6649521
2802,-3.0432029,-0.7518701	,-2.8771768,-0.66571283
2803,-3.040239,-0.7653357	,-2.8924758,-0.63482034
2804,-3.0530586,-0.7796912	,-2.9643795,-0.6787724
2805,-3.119735,-0.77121186	,-3.0534282,-0.69597274
2806,-3.237002,-0.79169065	,-3.052422,-0.7025895
2807,-3.2381938,-0.80618364	,-3.127103,-0.6938311
2808,-3.2234726,-0.80096006	,-3.1338506,-0.7206379
2809,-3.3527,-0.8091503	,-3.1698012,-0.6950532
2810,-3.384533,-0.82265854	,-3.1528528,-0.71094507
2811,-3.4991603,-0.8566096	,-3.1806254,-0.71824795
2812,-3.3955507,-0.8469453	,-3.2060127,-0.7275407
2813,-3.386882,-0.82532096	,-3.2128088,-0.6866827
2814,-3.3963668,-0.840192	,-3.213801,-0.69437516
2815,-3.414636,-0.83578736	,-3.2328613,-0.7119643
2816,-3.4191444,-0.835325	,-3.2205932,-0.73421323
2817,-3.5187984,-0.86615103	,-3.237717,-0.7148908
2818,-3.5218616,-0.859437	,-3.2399557,-0.71907425
2819,-3.5114186,-0.8480593	,-3.2241106,-0.7218417
2820,-3.4091659,-0.84008664	,-3.2405138,-0.7071234
2821,-3.38616,-0.8275845	,-3.1504068,-0.6863366
2822,-3.3257937,-0.8324841	,-3.1661992,-0.69231814
2823,-3.3050344,-0.8088026	,-3.1688535,-0.71242344
2824,-3.3671546,-0.8186241	,-3.1751933,-0.7190044
2825,-3.2811842,-0.81107295	,-3.1592124,-0.73053646
2826,-3.2864842,-0.81660235	,-3.3337395,-0.75749147
2827,-3.4222875,-0.83502215	,-3.3241384,-0.7564785
2828,-3.3319519,-0.82367784	,-3.3275404,-0.74155605
2829,-3.324203,-0.82582366	,-3.3428254,-0.7436951
2830,-3.3198497,-0.8306381	,-3.3791406,-0.76966715
2831,-3.3331454,-0.8253477	,-3.3823748,-0.77084047
2832,-3.3397572,-0.83998513	,-3.4020052,-0.7801206
2833,-3.4329307,-0.8635285	,-3.3975894,-0.77936625
2834,-3.4479182,-0.8517905	,-3.4303172,-0.7709864
2835,-3.3872714,-0.85598093	,-3.440721,-0.7983038
2836,-3.3284025,-0.83671755	,-3.4457703,-0.79566187
2837,-3.3585894,-0.8375822	,-3.411394,-0.7761754
2838,-3.378211,-0.8357911	,-3.4311883,-0.7858949
2839,-3.4652264,-0.8616448	,-3.4279103,-0.7805944
2840,-3.48341,-0.8652515	,-3.4159513,-0.7844326
2841,-3.5086718,-0.8706799	,-3.423212,-0.7837951
2842,-3.5382967,-0.8625289	,-3.4456704,-0.79253834
2843,-3.5422819,-0.87905794	,-3.4298592,-0.7879772
2844,-3.4800222,-0.8600822	,-3.437347,-0.7776316
2845,-3.5098264,-0.8610834	,-3.4488406,-0.7942262
2846,-3.51167,-0.8807157	,-3.450743,-0.7943129
2847,-3.484385,-0.8524664	,-3.4699,-0.79663014
2848,-3.4553285,-0.83489037	,-3.4777017,-0.809746
2849,-3.5072532,-0.85894567	,-3.4843228,-0.80728364
2850,-3.5665753,-0.88897544	,-3.483076,-0.82251626
2851,-3.446938,-0.85312593	,-3.4950726,-0.80054706
2852,-3.482983,-0.84292185	,-3.491306,-0.8113731
2853,-3.4864275,-0.8583992	,-3.4885023,-0.81082946
2854,-3.4850085,-0.8585194	,-3.323419,-0.785373
2855,-3.4761705,-0.8700828	,-3.3034317,-0.7874026
2856,-3.5067317,-0.871518	,-3.3390014,-0.77531075
2857,-3.5942261,-0.8775006	,-3.4029958,-0.8015434
2858,-3.5570543,-0.8700732	,-3.409461,-0.7791131
2859,-3.586302,-0.8763635	,-3.410097,-0.7834791
2860,-3.522582,-0.86778784	,-3.4231107,-0.79922444
2861,-3.5152013,-0.8679432	,-3.430758,-0.8065752
2862,-3.5684974,-0.87998635	,-3.437434,-0.8120537
2863,-3.704424,-0.9143145	,-3.4473178,-0.8151792
2864,-3.7351134,-0.91777754	,-3.4534018,-0.8043458
2865,-3.7350483,-0.90913206	,-3.4023578,-0.7878799
2866,-3.8811183,-0.9317284	,-3.3940077,-0.7897652
2867,-3.8928711,-0.93589264	,-3.4155276,-0.7916205
2868,-3.8938951,-0.94913214	,-3.4177804,-0.77788484
2869,-3.8958771,-0.9435076	,-3.438975,-0.8038312
2870,-3.905614,-0.9433422	,-3.4384613,-0.80309594
2871,-3.9151392,-0.95079297	,-3.42723,-0.774387
2872,-3.9715807,-0.96772313	,-3.4505498,-0.8046619
2873,-3.7638593,-0.92532814	,-3.4678755,-0.79830045
2874,-3.8666818,-0.9520624	,-3.4551854,-0.7983513
2875,-3.8729208,-0.9340512	,-3.4675422,-0.7853607
2876,-3.8456879,-0.93159187	,-3.4736955,-0.7916036
2877,-3.9004776,-0.9442232	,-3.4835033,-0.7881194
2878,-3.8207085,-0.9217224	,-3.487916,-0.8088578
2879,-3.8770075,-0.9628343	,0.08804444,0.019330248
2880,-3.8771114,-0.9652747	,-0.11636462,0.057287775
2881,-3.8952188,-0.9539777	,0.06695199,-0.17055185
2882,-4.124705,-1.0097373	,-3.4871578,-0.8029064
2883,-4.130533,-1.000841	,-3.501012,-0.7985735
2884,-4.0535197,-0.97691023	,-3.5216062,-0.8183098
2885,-4.0924587,-1.0044901	,-3.5183854,-0.82249445
2886,-4.1202717,-1.0133051	,-3.532647,-0.80594236
2887,-4.259824,-1.054004	,-3.5332196,-0.81790584
2888,-4.265393,-1.0439171	,-3.5336344,-0.8058148
2889,-4.2738633,-1.0511957	,-3.5489302,-0.8521732
2890,-4.2884116,-1.0592582	,-3.560039,-0.8301428
2891,-3.9268453,-0.9664088	,-3.563185,-0.8292157
2892,-3.9252152,-0.957172	,-3.5895116,-0.82866836
2893,-3.953959,-0.97816694	,-3.5869877,-0.8380755
2894,-3.7886097,-0.94333017	,-3.600861,-0.833561
2895,-3.9022937,-0.94533247	,-3.6191988,-0.84272456
2896,-3.8771253,-0.94600594	,-3.6148808,-0.8292869
2897,-3.8546176,-0.9475421	,-3.6315732,-0.83160615
2898,-3.8792,-0.94734627	,-3.6365485,-0.85241663
2899,-3.888947,-0.95132995	,-3.6410034,-0.8499471
2900,-3.9354815,-0.974524	,-3.6593595,-0.84851444
2901,-3.9494464,-0.97545564	,-3.6647756,-0.85106534
2902,-4.224159,-1.0369815	,-3.6736789,-0.85719293
2903,-4.204861,-1.035484	,-3.6381025,-0.84130794
2904,-4.197665,-1.0290507	,-3.6461208,-0.8374991
2905,-4.082965,-1.008767	,-3.65879,-0.85419
2906,-3.874033,-0.95741236	,-3.6587253,-0.8521341
2907,-3.764405,-0.9276967	,-3.669016,-0.8348769
2908,-3.726595,-0.92486775	,-3.7120514,-0.87358004
2909,-3.872756,-0.9545609	,-3.7141395,-0.86901087
2910,-3.9137342,-0.9547726	,-3.7313302,-0.88201684
2911,-3.8470354,-0.9622448	,-3.727768,-0.88770974
2912,-3.885195,-0.9468303	,-3.7553947,-0.8705916
2913,-3.8746114,-0.9460383	,-3.741176,-0.90326196
2914,-3.8759403,-0.9504793	,-3.7543254,-0.8779179
2915,-3.95084,-0.97683007	,-3.7892146,-0.88075876
2916,-3.9652054,-0.9605533	,-3.7858558,-0.8913129
2917,-4.0361934,-0.9879189	,-3.7894912,-0.8971785
2918,-4.0541587,-0.99726576	,-3.827609,-0.895285
2919,-4.0314226,-0.9857793	,-3.812478,-0.88358283
2920,-4.068919,-1.0004097	,-3.8276756,-0.9214391
2921,-3.895087,-0.9576866	,-3.8371155,-0.8920896
2922,-4.0711865,-1.0026202	,-3.8463285,-0.90453047
2923,-4.006285,-0.97755414	,-3.8606138,-0.91641194
2924,-4.057096,-0.9776683	,-3.8797643,-0.91673946
2925,-4.0933743,-1.0104243	,-3.88171,-0.9118016
2926,-4.090531,-1.0079383	,-3.8841505,-0.9193479
2927,-4.14094,-1.01839	,-3.8433068,-0.9231715
2928,-4.529962,-1.1263708	,-3.8412108,-0.9059352
2929,-4.5536165,-1.1112397	,-3.8632612,-0.9330069
2930,-4.568413,-1.1340339	,-3.8712075,-0.9094896
2931,-4.5938816,-1.1348753	,-3.7337224,-0.89883155
2932,-4.6233616,-1.148888	,-3.755871,-0.8859191
2933,-4.5441017,-1.1192427	,-3.7363615,-0.88079184
2934,-4.5622,-1.1165403	,-3.7583914,-0.8820877
2935,-4.5568666,-1.1246259	,-3.7687464,-0.8922995
2936,-4.5079446,-1.1209353	,-3.7754424,-0.8768408
2937,-4.8415685,-1.2147614	,-3.7911541,-0.9005935
2938,-4.288007,-1.0683409	,-3.8530147,-0.8997864
2939,-4.3011765,-1.0693921	,-3.8619819,-0.91422015
2940,-4.1815267,-1.0206455	,-3.884135,-0.9143903
2941,-4.1989017,-1.0379126	,-3.8861878,-0.9226368
2942,-4.090023,-1.0038258	,-3.9206657,-0.9347556
2943,-4.2534947,-1.0481644	,-3.7454202,-0.8698126
2944,-4.2870765,-1.0493737	,-3.9063022,-0.91097295
2945,-4.277352,-1.044953	,-3.9247382,-0.9478781
2946,-4.310409,-1.0598797	,-3.9710753,-0.9345173
2947,-4.340718,-1.0743955	,-3.991546,-0.9373375
2948,-4.368048,-1.0636423	,-3.9847085,-0.95895994
2949,-4.340242,-1.0699099	,-4.011023,-0.9758602
2950,-4.36285,-1.0629418	,-4.0155325,-0.9395397
2951,-4.397894,-1.0723814	,-4.0316,-0.9621004
2952,-4.412797,-1.0947961	,-4.025571,-0.97404844
2953,-4.4038897,-1.0727797	,-4.0442486,-0.94493854
2954,-4.404654,-1.0746632	,-4.042651,-0.9748347
2955,-4.8211613,-1.2059932	,-4.065679,-0.9699725
2956,-4.868684,-1.2003707	,-4.0830684,-0.98453605
2957,-4.861643,-1.2065332	,-4.082239,-0.99032605
2958,-4.8768806,-1.197491	,-4.096742,-0.9901409
2959,-4.8613324,-1.1938927	,-3.9193227,-0.96079576
2960,-4.903545,-1.2179279	,-3.9426224,-0.93482864
2961,-4.8900156,-1.2027885	,-3.9463127,-0.96236867
2962,-4.9067087,-1.207518	,-3.9460707,-0.97136104
2963,-4.318367,-1.0698875	,-4.090143,-0.9755323
2964,-4.287228,-1.065516	,-0.16734971,-0.21369515
2965,-4.141929,-1.0277988	,-3.758744,-0.9206516
2966,-4.1705165,-1.0312451	,-3.766385,-0.9315188
2967,-4.170666,-1.0161868	,-3.769559,-0.90819263
2968,-4.2141924,-1.0396762	,-3.791002,-0.9156895
2969,-4.0032873,-0.98796237	,-3.6417828,-0.90842915
2970,-3.860782,-0.9551373	,-3.6514535,-0.9104288
2971,-3.7690945,-0.93659824	,-3.5360625,-0.8564087
2972,-3.832139,-0.9516321	,-3.5475385,-0.8620463
2973,-3.8494792,-0.95174813	,-3.5450737,-0.8674923
2974,-3.8529174,-0.9573538	,-3.5533175,-0.8531653
2975,-3.850783,-0.97077596	,-3.5582204,-0.86640835
2976,-3.856912,-0.96478164	,-3.5761306,-0.8794572
2977,-3.833717,-0.9488717	,-3.5786526,-0.8954629
2978,-3.8670604,-0.95782363	,-3.9161854,-0.9582127
2979,-3.9807596,-0.985671	,-3.9249165,-0.9538125
2980,-4.0041203,-0.98254156	,-3.9369974,-0.9584962
2981,-3.8719049,-0.95594954	,-3.9643555,-0.97841585
2982,-3.8906174,-0.9622983	,-3.9630747,-0.9609208
2983,-3.7571707,-0.9460722	,-3.9806077,-0.9890764
2984,-3.8104584,-0.94732565	,-4.001542,-0.97375643
2985,-3.8369164,-0.9487183	,-3.9894516,-1.0078573
2986,-3.8567972,-0.97159284	,-4.0278463,-0.9929546
2987,-3.74616,-0.9179636	,-4.021849,-1.0172174
2988,-3.7604716,-0.9257952	,-4.023313,-1.00145
2989,-3.497498,-0.8891807	,-3.5825746,-0.87282646
2990,-3.5423594,-0.8835023	,-3.6131363,-0.90107846
2991,-3.587619,-0.8882615	,-3.308147,-0.7998003
2992,-3.540622,-0.87986684	,-3.3466253,-0.82183236
2993,-3.497972,-0.87569165	,-3.3476653,-0.81399345
2994,-3.451813,-0.86531305	,-3.357753,-0.8260868
2995,-3.5057178,-0.86670786	,-3.361476,-0.8177832
2996,-3.5182433,-0.8775492	,-3.3901079,-0.8139874
2997,-3.4985657,-0.89236176	,-3.3946023,-0.81492186
2998,-3.4598935,-0.865572	,-3.4499092,-0.84868467
2999,-3.408242,-0.85660595	,-3.4494982,-0.83821636
3000,-3.3981383,-0.85510516	,-3.4579506,-0.8329577
3001,-3.309455,-0.8412368	,-3.2787397,-0.7822761
3002,-3.3643415,-0.8413887	,-3.2958636,-0.77040666
3003,-3.3100517,-0.82704115	,-3.2095296,-0.78312683
3004,-3.145873,-0.7941071	,-3.0632772,-0.75258285
3005,-3.1574643,-0.79822326	,-3.0707443,-0.7447835
3006,-3.1975982,-0.8250797	,-3.1154194,-0.7534647
3007,-3.1789987,-0.8008649	,-2.9809217,-0.70748615
3008,-3.178559,-0.8029668	,-2.9498475,-0.7113847
3009,-3.1139145,-0.7841962	,-2.8024714,-0.6696963
3010,-3.0111048,-0.77736455	,-2.8038647,-0.6539362
3011,-2.942883,-0.7610765	,-2.7362006,-0.66691226
3012,-2.9441988,-0.75963616	,-2.7438788,-0.66777474
3013,-2.881528,-0.75671667	,-2.6814804,-0.6383931
3014,-2.869712,-0.7388376	,-2.6562889,-0.6476924
3015,-2.8858538,-0.74127555	,-2.6346848,-0.63890654
3016,-2.7995036,-0.73858976	,-2.5617383,-0.6185898
3017,-2.7583282,-0.72242874	,-2.5035484,-0.59279084
3018,-2.7825074,-0.72656316	,-2.6019552,-0.6208455
3019,-2.742297,-0.71548325	,-2.5784233,-0.6366804
3020,-2.7588577,-0.7310816	,-2.5740602,-0.6427613
3021,-2.7018807,-0.7062949	,-2.5096838,-0.5983068
3022,-2.6490388,-0.71226126	,-2.4912071,-0.56660056
3023,-2.6615841,-0.69273	,-2.5027056,-0.5708948
3024,-2.6454904,-0.6795348	,-2.390797,-0.5485711
3025,-2.6121187,-0.6866576	,-2.4042234,-0.5502988
3026,-2.6403315,-0.70775384	,-2.3866553,-0.574609
3027,-2.7032495,-0.70655507	,-2.3972049,-0.5572502
3028,-2.7003558,-0.70255476	,-2.4153676,-0.57445264
3029,-2.6936624,-0.70473015	,-2.4636407,-0.5835646
3030,-2.7182727,-0.70703125	,-2.4529512,-0.5713618
3031,-2.580879,-0.6717869	,-2.340769,-0.5385209
3032,-2.5410898,-0.6614871	,-2.321639,-0.54302603
3033,-2.4876263,-0.6610324	,-2.283301,-0.52668154
3034,-2.466999,-0.65798026	,-2.3607993,-0.5832185
3035,-2.453164,-0.66176623	,-2.3613422,-0.562819
3036,-2.4918003,-0.6565072	,-2.3620746,-0.5640059
3037,-2.490343,-0.66473264	,-2.3734248,-0.54773706
3038,-2.534668,-0.6812107	,-2.3771348,-0.54055494
3039,-2.5262315,-0.663243	,-2.364682,-0.5714261
3040,-2.4841044,-0.66098356	,-2.386759,-0.569304
3041,-2.609629,-0.67780036	,-2.5495434,-0.59670293
3042,-2.570871,-0.68014824	,-2.4910564,-0.598032
3043,-2.5534062,-0.6492808	,-2.4748728,-0.56941974
3044,-2.5889752,-0.6730078	,-2.5852954,-0.60656464
3045,-2.585029,-0.667461	,-2.4913797,-0.5619281
3046,-2.6307118,-0.65791756	,-2.6116245,-0.5862407
3047,-2.6136122,-0.65811634	,-2.5719604,-0.5973514
3048,-2.509809,-0.64217603	,-2.434623,-0.5846383
3049,-2.3986592,-0.6411083	,-2.3956451,-0.5728635
3050,-2.3922043,-0.64705825	,-2.2664924,-0.5453805
3051,-2.3596368,-0.6265376	,-2.1695387,-0.49489877
3052,-2.393479,-0.65132153	,-2.1184251,-0.46472389
3053,-2.3944016,-0.64199704	,-2.149908,-0.4888736
3054,-2.3613174,-0.63738143	,-2.092191,-0.47494686
3055,-2.3736277,-0.6406057	,-2.091547,-0.45995638
3056,-2.3408017,-0.6314936	,-2.0833442,-0.47697324
3057,-2.3493297,-0.6196427	,-2.1081,-0.50617117
3058,-2.2807734,-0.6195857	,-2.0712428,-0.48413017
3059,-2.2716465,-0.6159478	,-2.0933452,-0.5293493
3060,-2.258909,-0.62075317	,-2.0490396,-0.47825685
3061,-2.2949903,-0.62122977	,-2.1609552,-0.5492566
3062,-2.305488,-0.644162	,-2.163162,-0.53208
3063,-2.388771,-0.6351629	,-2.1676266,-0.52313244
3064,-2.3946927,-0.65211153	,-2.1767795,-0.5304632
3065,-2.3873527,-0.64375055	,-2.1617095,-0.5138159
3066,-2.3874564,-0.6355717	,-2.2186625,-0.52893215
3067,-2.396554,-0.6321359	,-2.2194242,-0.54802364
3068,-2.460388,-0.66554976	,-2.2620301,-0.5432767
3069,-2.4821098,-0.6570603	,-2.1965861,-0.496069
3070,-2.53796,-0.6703434	,-2.2026238,-0.5001496
3071,-2.539657,-0.6816316	,-2.2119384,-0.51312417
3072,-2.6350892,-0.6881395	,-2.1858246,-0.48618862
3073,-2.5711617,-0.671701	,-2.2512672,-0.5424215
3074,-2.5403268,-0.6709445	,-2.2850888,-0.54451746
3075,-2.554703,-0.6733337	,-2.3428748,-0.54089093
3076,-2.4892657,-0.66018224	,-2.2601836,-0.5257582
3077,-2.4441838,-0.6568626	,-2.220403,-0.5157353
3078,-2.443653,-0.6742737	,-2.212965,-0.5393326
3079,-2.4928093,-0.68847406	,-2.2255757,-0.52680194
3080,-2.5313084,-0.6709205	,-2.2380962,-0.5134915
3081,-2.6123464,-0.69081485	,-2.2903001,-0.5555633
3082,-2.4924445,-0.6614697	,-2.278855,-0.5259294
3083,-2.4779515,-0.6590077	,-2.2189705,-0.520645
3084,-2.487234,-0.6577229	,-2.3004718,-0.5282195
3085,-2.5672607,-0.66684294	,-2.3701925,-0.55009663
3086,-2.6142385,-0.66708297	,-2.3460627,-0.56206656
3087,-2.6646059,-0.6714443	,-2.3975937,-0.55946
3088,-2.7140918,-0.6892865	,-2.4072776,-0.58185047
3089,-2.6281364,-0.65564036	,-2.4635167,-0.607137
3090,-2.6250606,-0.6920022	,-2.4591289,-0.5817994
3091,-2.6406217,-0.67339116	,-2.573253,-0.62540984
3092,-2.6408195,-0.6952717	,-2.592599,-0.6310912
3093,-2.6665936,-0.6852868	,-2.4944599,-0.6250307
3094,-2.6225007,-0.6752256	,-2.5084136,-0.62475085
3095,-2.6952722,-0.6934429	,-2.606448,-0.65779775
3096,-2.7443795,-0.7177499	,-2.6053245,-0.64163667
3097,-2.7339382,-0.7122176	,-2.624927,-0.6603989
3098,-2.8403397,-0.7313925	,-2.6299088,-0.6241125
3099,-2.8723216,-0.73333204	,-2.6027238,-0.62733406
3100,-2.796177,-0.7210226	,-2.6385303,-0.6597527
3101,-2.723466,-0.7123557	,-2.7403316,-0.69472694
3102,-2.783697,-0.71102566	,-2.6389954,-0.6688112
3103,-2.6658525,-0.6903427	,-2.4447048,-0.6130193
3104,-2.6735237,-0.70249605	,-2.4889574,-0.61365044
3105,-2.7079382,-0.68930274	,-2.4419725,-0.6371918
3106,-2.7128022,-0.7000029	,-2.4713914,-0.63592714
3107,-2.6923966,-0.70254487	,-2.5024364,-0.6689986
3108,-2.6430264,-0.6863877	,-2.497607,-0.64079106
3109,-2.5876286,-0.68632656	,-2.4274654,-0.64007646
3110,-2.6392674,-0.68447876	,-2.3488603,-0.57960796
3111,-2.640316,-0.7032402	,-2.3946562,-0.5908755
3112,-2.634817,-0.6968611	,-2.472885,-0.62638134
3113,-2.634973,-0.6838751	,-2.4310062,-0.59408003
3114,-2.6475446,-0.6927576	,-2.4194937,-0.59874296
3115,-2.5966818,-0.67918354	,-2.4492462,-0.5594351
3116,-2.5576077,-0.67141145	,-2.410724,-0.5662108
